id;nom;role;created_date;start_date;end_date
1;Cambodia Frozen Concrete;VENDEUR;2022-01-02;2022-01-02;2022-01-02
2;Senior;VENDEUR;2022-01-02;2022-01-01;2022-01-02
3;navigating;ASSISTANTE;2022-01-02;2022-01-02;2022-01-02
4;Armenian Solutions;ASSISTANTE;2022-01-02;2022-01-02;2022-01-02
5;value-added;VENDEUR;2022-01-01;2022-01-02;2022-01-02
6;Branding firewall;ADMIN;2022-01-02;2022-01-02;2022-01-02
7;Avon;ASSISTANTE;2022-01-02;2022-01-02;2022-01-02
8;context-sensitive strategic calculate;ASSISTANTE;2022-01-02;2022-01-02;2022-01-02
9;Guiana granular;VENDEUR;2022-01-02;2022-01-02;2022-01-02
10;Dollar;ADMIN;2022-01-02;2022-01-02;2022-01-02
